,site_reference_number,facility_id,hvac_system_id,heating_system_type,heating_system_type_other,primary_heat_fuel,aux_heat,electric_resistance_heat_type,total_hvac_heating_capacity_kbtu,facility_heating_capacity_fraction,facility_heating_capacity_rank,regional_heated_sqft_represented,total_hvac_cooling_capacity_kbtu,facility_cooling_capacity_fraction,facility_cooling_capacity_rank,regional_cooled_sqft_represented,cooling_system_type,cooling_system_type_other,hydronic_heating,hydronic_cooling,hydronic_heating_or_cooling,avg_hours_per_week,airflow_capacity,system_primary_heat,system_primary_cool,primary_ventilation_source,num_identical_units,system_age_years,type_manufacturer,type_model,zone_type,heat_pump_type,component_vent_other,fan_supply_vfd,fan_supply_hp,fan,total_return_exhaust_fan_hp,supply_control_method,ventilation_outside_air,ventilation_exhaust,controls_comm_types,heat_cool_vent,component_heat_exchange,boiler_fuel_type,chiller_type,primary_building_type_facility,detailed_econ,total_building_area,urban_rural,year_constructed,sample_weight_hvac,regional_site_sqft_represented,regional_site_conditioned_sqft_represented
0,19240,3480,8761,Wall-mount Unitary Heater,,Hot Water from Boiler,,,0.0,0.041666,8.0,23938.76951,0.0,0.0,0.0,0.0,,,0,0,0,168.0,1790.0,Primary,,0,1.0,14.0,Trane,122-P,Single Zone,,,0.0,0.17,Supply,0.0,None,,,,HT,,Natural Gas,Not Applicable,Hospital,Hospital  - Hospital,427242,Urban,2005,1.0,574539.6608,574539.6608
1,19240,3480,8762,Wall-mount Unitary Heater,,Hot Water from Boiler,,,0.0,0.041666,11.0,23938.76951,0.0,0.0,0.0,0.0,,,0,0,0,168.0,515.0,Primary,,0,1.0,14.0,Trane,38-W2,Single Zone,,,0.0,0.05,Supply,0.0,None,,,,HT,,Natural Gas,Not Applicable,Hospital,Hospital  - Hospital,427242,Urban,2005,1.0,574539.6608,574539.6608
2,19240,3480,8763,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.041666,15.0,23938.76951,0.0,0.05,12.0,28726.98304,AHU with hydronic cooling and heating,,1,1,1,168.0,35000.0,Primary,Primary,0,1.0,14.0,Pace,PCAH,Multizone,,,1.0,75.0,"Return,Supply",25.0,VAV w/ hydronic coil,Economizer/Motorized louvers,Motorized louvers,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,427242,Urban,2005,1.0,574539.6608,574539.6608
3,19240,3480,8764,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.041666,1.0,23938.76951,0.0,0.05,1.0,28726.98304,AHU with hydronic cooling and heating,,1,1,1,168.0,35000.0,Primary,Primary,0,1.0,14.0,Pace,PCAH,Multizone,,,1.0,75.0,"Return,Supply",25.0,VAV w/ hydronic coil,Economizer/Motorized louvers,Motorized louvers,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,427242,Urban,2005,1.0,574539.6608,574539.6608
4,19240,3480,8765,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.041666,22.0,23938.76951,0.0,0.05,18.0,28726.98304,AHU with hydronic cooling and heating,,1,1,1,168.0,35000.0,Primary,Primary,0,1.0,14.0,Pace,PCAH,Multizone,,,1.0,75.0,"Return,Supply",25.0,VAV w/ hydronic coil,Economizer/Motorized louvers,Motorized louvers,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,427242,Urban,2005,1.0,574539.6608,574539.6608
5,19240,3480,8766,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.041666,24.0,23938.76951,0.0,0.05,20.0,28726.98304,AHU with hydronic cooling and heating,,1,1,1,168.0,55000.0,Primary,Primary,0,1.0,14.0,Pace,PCAH,Multizone,,,1.0,100.0,"Return,Supply",60.0,VAV w/ hydronic coil,Economizer/Motorized louvers,Motorized louvers,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,427242,Urban,2005,1.0,574539.6608,574539.6608
6,19240,3480,8767,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.041666,21.0,23938.76951,0.0,0.05,17.0,28726.98304,AHU with hydronic cooling and heating,,1,1,1,168.0,55000.0,Primary,Primary,0,1.0,14.0,Pace,PCAH,Multizone,,,1.0,100.0,"Return,Supply",60.0,VAV w/ hydronic coil,Economizer/Motorized louvers,Motorized louvers,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,427242,Urban,2005,1.0,574539.6608,574539.6608
7,19240,3480,8768,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.041666,2.0,23938.76951,0.0,0.05,2.0,28726.98304,AHU with hydronic cooling and heating,,1,1,1,168.0,40000.0,Primary,Primary,0,1.0,14.0,Pace,PCAH,Multizone,,,1.0,75.0,Supply,0.0,VAV w/ hydronic coil,Economizer/Motorized louvers,Another system controls exhaust air,,"C,HE,HT,V",Other,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,427242,Urban,2005,1.0,574539.6608,574539.6608
8,19240,3480,8769,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.041666,14.0,23938.76951,0.0,0.05,11.0,28726.98304,AHU with hydronic cooling and heating,,1,1,1,168.0,9000.0,Primary,Primary,0,1.0,14.0,Haakon,Custom,Multizone,,,2.0,30.0,"Return,Supply",15.0,VAV w/ hydronic coil,Economizer/Motorized louvers,Another system controls exhaust air,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,427242,Urban,2005,1.0,574539.6608,574539.6608
9,19240,3480,8770,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.041666,6.0,23938.76951,0.0,0.05,6.0,28726.98304,AHU with hydronic cooling and heating,,1,1,1,168.0,40000.0,Primary,Primary,0,1.0,14.0,Pace,PCAH,Multizone,,,1.0,75.0,Supply,0.0,VAV w/ hydronic coil,Economizer/Motorized louvers,Another system controls exhaust air,,"C,HE,HT,V",Other,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,427242,Urban,2005,1.0,574539.6608,574539.6608
